CustomerID,BranchID,AccountNumber,AccountType,Balance,Status,OpenDate
1,9,52278841677794,Savings,872869.44,Blocked,2022-11-04
2,1,52678479710317,Current,953556.38,Active,2020-09-08
3,10,52267237967317,Savings,1198749.63,Active,2023-05-21
4,4,52428218335872,Savings,2333328.78,Active,2021-07-01
5,6,52810302053057,Current,1862321.27,Active,2023-06-26
6,6,52496746970607,Savings,2281161.3,Active,2023-12-04
7,3,52933052040137,Savings,1499766.01,Active,2019-05-26
8,5,52400493654606,Savings,2067294.77,Active,2019-02-09
9,8,52469656690579,Savings,1467730.65,Active,2021-04-10
10,10,52996332506089,Savings,1306236.24,Active,2021-12-12
11,5,52846995360644,Current,1929118.55,Blocked,2023-12-02
12,7,52229350196436,Savings,1153493.72,Active,2019-02-03
13,6,52737404777556,Savings,1433161.07,Active,2020-07-09
14,2,52702012460569,Savings,1966218.46,Active,2024-06-04
15,5,52988104344419,Savings,63633.41,Active,2024-08-15
16,2,52118955715534,Current,1431073.08,Active,2024-06-28
17,1,52858651454074,Savings,1522186.54,Active,2022-09-06
18,10,52598617605136,Savings,351737.57,Active,2023-08-10
19,7,52821969621774,Savings,712588.03,Active,2019-06-28
20,2,52006546753389,Savings,2107999.17,Active,2024-05-07
21,5,52828722393101,Savings,1472293.38,Active,2019-10-19
22,9,52623822231798,Savings,1083146.09,Active,2024-03-23
23,8,52372602634310,Savings,1333223.66,Active,2022-01-23
24,8,52630620288693,Savings,2050010.97,Active,2024-04-24
25,7,52285805116766,Savings,2452073.23,Active,2022-06-18
26,3,52754033405551,Savings,986423.24,Active,2020-03-16
27,10,52105264188129,Current,1716577.59,Active,2021-06-19
28,8,52763427709023,Current,1152525.62,Active,2019-06-30
29,10,52790513738038,Current,486927.83,Active,2023-04-08
30,2,52965710467746,Savings,2244364.33,Active,2024-10-25
31,3,52216694020984,Savings,801457.48,Active,2020-03-11
32,7,52406779485660,Savings,2026845.52,Active,2024-05-30
33,1,52082399985997,Savings,1073043.93,Active,2024-12-22
34,3,52871428603180,Savings,2286490.68,Active,2019-05-26
35,10,52944126369694,Savings,679377.83,Active,2021-12-05
36,8,52507518535112,Current,2458412.93,Active,2021-03-13
37,4,52519367009916,Savings,265301.08,Active,2023-09-03
38,9,52917245120618,Savings,2498480.25,Active,2024-09-28
39,8,52854326611540,Savings,2484377.56,Active,2019-02-22
40,3,52271392362890,Current,1351405.67,Active,2020-07-23
41,10,52395222886871,Savings,612548.44,Active,2024-08-03
42,4,52710619370772,Savings,574675.11,Active,2021-06-25
43,3,52823140452698,Savings,450734.58,Active,2022-08-12
44,6,52034010829444,Current,880564.34,Active,2024-03-31
45,8,52901770300510,Savings,2169275.43,Active,2020-02-15
46,9,52770792292824,Savings,388759.08,Blocked,2024-06-28
47,8,52432703623502,Savings,1801490.97,Active,2023-10-21
48,8,52086242569753,Savings,15374.86,Active,2022-01-14
49,10,52232906590668,Current,476569.7,Active,2024-02-13
50,5,52878896671280,Savings,2340612.57,Active,2019-04-16
51,2,52832262348580,Savings,2383796.87,Active,2023-01-19
52,1,52023783637214,Savings,2216100.05,Active,2022-11-30
53,5,52174434735092,Savings,402780.57,Active,2021-09-25
54,4,52982351238467,Savings,2152351.32,Active,2019-08-14
55,8,52876894383009,Savings,2271506.74,Active,2019-03-12
56,9,52189286335325,Savings,456071.44,Active,2024-11-09
57,3,52086738971179,Savings,1526947.81,Active,2022-03-26
58,9,52652203925833,Savings,1615223.14,Closed,2021-11-13
59,8,52647394099173,Savings,980566.33,Active,2019-04-22
60,9,52715234041779,Savings,1132116.65,Active,2022-01-07
61,7,52333728777337,Savings,358923.14,Active,2020-03-14
62,5,52046657862112,Savings,972473.99,Active,2023-11-29
63,6,52985607917442,Savings,2092980.26,Active,2019-02-01
64,1,52476310344996,Savings,158102.59,Active,2023-11-23
65,6,52648160628951,Current,651649.44,Active,2020-06-02
66,10,52701758775227,Savings,2395255.79,Active,2021-12-06
67,5,52917028618725,Savings,1905327.89,Active,2019-08-19
68,5,52265973014485,Savings,106664.1,Active,2020-02-03
69,5,52066182782172,Current,2221046.68,Active,2022-01-05
70,4,52801826765446,Savings,648074.85,Active,2023-10-24
71,7,52387279240236,Savings,1747151.77,Active,2020-09-02
72,9,52863162799240,Savings,2163823.45,Active,2022-08-27
73,10,52522252293741,Savings,77980.66,Active,2024-09-05
74,9,52996984693713,Current,1205857.09,Active,2022-06-03
75,9,52962018485692,Savings,688349.08,Active,2024-05-25
76,6,52682480545295,Savings,1909218.74,Active,2019-03-08
77,2,52631670567256,Savings,2341235.01,Active,2019-01-09
78,5,52853679933713,Savings,1062480.78,Active,2021-04-12
79,9,52789002354798,Savings,1003415.53,Active,2019-01-07
80,10,52147377688334,Savings,1463362.69,Active,2023-10-18
81,6,52910190119181,Savings,1955113.41,Active,2019-07-08
82,5,52154731396104,Savings,2477286.68,Active,2022-07-06
83,10,52533141503048,Savings,23839.31,Active,2024-01-07
84,9,52893471052500,Savings,1101060.46,Active,2020-09-06
85,8,52780344896682,Savings,2334915.37,Active,2024-04-22
86,9,52879753201044,Savings,2351519.87,Closed,2019-11-01
87,7,52507197700638,Savings,822487.88,Active,2020-10-03
88,5,52252777075518,Savings,1223205.67,Active,2023-04-21
89,7,52672266465951,Savings,2388254.86,Active,2021-10-21
90,2,52462533987661,Savings,146593.99,Active,2023-11-28
91,7,52964594894152,Savings,455321.96,Active,2022-02-27
92,1,52460570578709,Savings,1061856.92,Active,2020-06-01
93,6,52181035230280,Current,144597.32,Active,2023-09-26
94,7,52384290563595,Current,785542.1,Active,2021-01-13
95,10,52469886679136,Savings,180902.55,Active,2021-05-29
96,6,52033714122676,Savings,689391.77,Active,2024-05-29
97,9,52411902412158,Savings,1723770.92,Active,2022-08-26
98,1,52817733861418,Savings,660159.94,Active,2022-05-29
99,4,52115579892186,Savings,1501518.82,Closed,2019-10-12
100,2,52016800311494,Current,2245952.69,Active,2020-06-08
101,1,52552279415088,Savings,801983.99,Active,2024-03-25
102,10,52168957809418,Current,548648.36,Active,2020-04-26
103,5,52127592680250,Savings,2197209.61,Active,2023-08-20
104,3,52116540767522,Current,938548.35,Active,2021-07-26
105,2,52856754150713,Savings,2073712.11,Active,2020-04-19
106,7,52710738936413,Savings,2125457.59,Active,2020-03-15
107,9,52211461392137,Savings,2255289.49,Active,2019-03-08
108,6,52231410271562,Savings,855699.04,Active,2019-12-29
109,2,52255253641371,Savings,2370837.38,Active,2021-01-19
110,2,52409187034099,Current,737059.95,Active,2024-06-21
111,3,52671250927994,Savings,2133233.54,Active,2019-11-17
112,3,52839612990924,Current,2189418.02,Active,2024-09-17
113,1,52978943880962,Savings,381330.87,Active,2022-12-25
114,4,52514970095054,Current,853561.93,Blocked,2021-03-02
115,10,52637556356531,Savings,1864163.88,Active,2022-06-16
116,2,52159632686893,Savings,1406190.96,Active,2020-01-28
117,1,52353381596471,Savings,543327.92,Active,2019-08-30
118,6,52402914450198,Savings,985234.89,Active,2023-07-23
119,9,52995210365435,Savings,894082.39,Active,2024-05-01
120,5,52404157925559,Savings,2321834.8,Active,2022-10-23
121,3,52121277883098,Savings,2363977.04,Active,2023-11-12
122,5,52589408637662,Savings,2283027.43,Active,2024-09-08
123,7,52827989968086,Savings,2181667.84,Active,2023-07-22
124,7,52628743807245,Savings,3326.62,Active,2024-05-17
125,1,52468486283003,Current,1149481.96,Active,2024-02-28
126,10,52409433163537,Savings,1723465.61,Active,2020-12-08
127,2,52882829043597,Savings,806317.07,Active,2020-03-25
128,8,52929772492385,Savings,750665.36,Active,2023-10-17
129,4,52757198555088,Savings,143463.67,Active,2019-04-09
130,8,52759660039554,Savings,1123351.38,Active,2024-08-07
131,10,52433153900809,Savings,2080737.89,Active,2022-06-08
132,4,52833807457097,Savings,363236.35,Active,2022-04-12
133,2,52507745411215,Savings,2073519.64,Active,2019-11-07
