AccountID,CardNumber,CardType,ExpiryDate,CVV,Status
1,8978683939377342,Debit,2031-03-14,980,Active
2,2450694583273729,Credit,2030-08-16,909,Active
3,8619915115401324,Debit,2030-02-25,281,Active
4,5243796647299056,Debit,2030-03-14,587,Active
5,9768669520925672,Debit,2029-09-19,857,Active
6,2787201863728568,Debit,2029-10-12,225,Active
7,7549977650828005,Debit,2028-06-08,273,Active
8,8037290799836764,Debit,2030-12-19,321,Active
9,7804026428559241,Credit,2028-08-30,305,Active
10,4943448817360106,Debit,2027-12-03,595,Active
11,1572582269515130,Debit,2030-09-23,399,Active
12,5432506035074687,Debit,2028-07-22,204,Active
13,7974947292876293,Debit,2029-09-14,241,Active
14,6863525022037611,Credit,2029-09-25,147,Active
15,6085659376808912,Debit,2031-12-23,108,Active
16,3417787562080021,Debit,2031-07-08,399,Active
17,7745054834348432,Debit,2030-03-04,504,Active
18,3058489139588603,Debit,2031-06-08,564,Active
19,7433261851325603,Credit,2028-11-24,255,Active
20,0720815248423958,Debit,2030-11-16,877,Active
21,5281731247046842,Debit,2031-11-14,513,Active
22,0468035754830743,Debit,2028-10-06,853,Active
23,6294375651427628,Debit,2030-12-22,322,Active
24,3326305370431047,Debit,2031-02-14,284,Active
25,7500622332672060,Debit,2028-04-12,277,Active
26,4462226968592739,Debit,2027-06-05,825,Active
27,9654704908656524,Debit,2030-03-31,313,Active
28,9695844851104278,Debit,2030-03-02,230,Active
29,0135066942704503,Debit,2029-02-04,355,Active
30,6266981995738676,Debit,2031-10-14,534,Blocked
31,8878066823068318,Credit,2029-12-16,782,Active
32,6569110251592452,Debit,2030-07-24,144,Active
33,4134603560325787,Debit,2027-10-26,722,Active
34,5968126260494027,Debit,2028-11-21,272,Active
35,4898702423910525,Debit,2028-03-24,281,Active
36,5511955755505611,Debit,2028-02-06,409,Active
37,4743424476455508,Debit,2029-02-28,442,Active
38,1703756505477744,Debit,2029-03-17,652,Active
39,5306255686431015,Debit,2031-05-28,567,Active
40,3210094214153221,Debit,2031-12-28,341,Active
41,2679844337675267,Debit,2029-01-02,448,Active
42,2923409231807094,Debit,2027-09-26,918,Active
43,1332841127069449,Debit,2030-10-08,543,Active
44,5042250732604758,Credit,2027-05-21,657,Blocked
45,8042835693017359,Debit,2029-11-12,225,Active
46,2693651215341888,Debit,2030-07-02,175,Active
47,7017577575416640,Credit,2028-07-08,273,Active
48,5785291284137398,Debit,2029-01-11,228,Active
49,2372069142601931,Debit,2031-10-09,926,Active
50,5719417151105137,Debit,2030-02-17,731,Active
51,6049811409356506,Debit,2027-07-09,672,Active
52,4281114501106037,Debit,2029-03-16,865,Active
53,0778924660272866,Debit,2027-04-26,451,Active
54,4653413656249323,Debit,2028-04-05,961,Active
55,6106153164989834,Debit,2030-04-01,542,Active
56,1567372896973216,Debit,2027-07-20,281,Active
57,6779868996604847,Credit,2030-09-06,311,Active
58,9961046682890136,Debit,2027-02-15,519,Active
59,9791160303891026,Credit,2030-07-31,443,Active
60,3645699465567064,Credit,2031-12-22,848,Active
61,8058568024037694,Debit,2028-10-25,281,Active
62,8532558734785771,Debit,2029-09-13,712,Active
63,3932223952945427,Credit,2027-05-04,210,Active
64,1603870840829559,Debit,2030-11-21,587,Active
65,2559226756688725,Debit,2030-10-01,941,Active
66,9710920735657738,Debit,2030-04-17,405,Active
67,2527950387421804,Debit,2027-08-25,376,Blocked
68,7390546388676758,Debit,2027-08-20,903,Active
69,1966365456568727,Credit,2028-01-19,358,Active
70,8657280317607311,Debit,2027-03-01,597,Active
71,6307605596978217,Debit,2031-01-08,201,Active
72,8238339086713403,Debit,2029-01-28,207,Active
73,0712375258172528,Debit,2031-06-20,343,Active
74,2572814212896262,Debit,2030-04-03,901,Active
75,1971409660578363,Debit,2027-09-20,524,Active
76,1199844886325810,Debit,2028-12-05,751,Active
77,4813138658821782,Credit,2028-10-27,797,Active
78,6433108457275788,Debit,2029-06-05,914,Active
79,4671029290893426,Credit,2030-07-19,591,Active
80,8903355569977720,Debit,2031-02-25,971,Active
81,0155806872145763,Debit,2028-01-01,737,Active
82,9674268121130106,Debit,2029-05-02,539,Active
83,9768955881582594,Debit,2030-12-02,637,Active
84,3215079906361710,Debit,2027-03-08,599,Active
85,0560234032449790,Credit,2031-07-07,525,Blocked
86,6845363600445789,Credit,2027-06-09,158,Active
87,8720722073339999,Debit,2031-02-26,157,Active
88,0220888047287488,Debit,2031-04-23,154,Active
89,5794032291697312,Credit,2028-02-29,606,Active
90,9601482312814959,Debit,2028-12-27,279,Active
91,6459739073753172,Debit,2031-03-12,271,Active
92,8968520815195393,Debit,2030-03-16,365,Active
93,4093348605221273,Debit,2028-12-20,549,Active
94,2053670492394104,Debit,2031-08-28,600,Active
95,2389147858566356,Debit,2028-01-15,313,Active
96,0006889873137384,Credit,2029-08-21,721,Active
97,9158756180865937,Credit,2028-10-26,420,Active
98,4025173489429998,Debit,2030-06-08,809,Active
99,0065021420667696,Debit,2027-07-26,775,Active
100,7179839904865579,Debit,2027-03-01,820,Active
101,3605181449346484,Debit,2030-08-22,455,Active
102,1905534952235341,Debit,2031-10-27,440,Active
103,3198674081336525,Debit,2028-02-26,626,Active
104,7659212243380213,Debit,2030-09-25,693,Active
105,5395011985527918,Debit,2031-07-18,412,Active
106,2644783262327585,Debit,2031-11-20,337,Active
107,5498967606384338,Debit,2031-04-04,870,Active
108,8916418698307552,Credit,2031-05-30,478,Active
109,1111842268119967,Credit,2028-10-23,190,Active
110,5330726097691653,Debit,2031-12-01,243,Active
111,2607675419197534,Debit,2030-01-20,374,Active
112,6477781731622725,Debit,2031-01-04,134,Active
113,2641677551883424,Debit,2031-11-29,261,Active
114,8066300242461842,Debit,2030-01-13,128,Active
115,7079467287833883,Debit,2027-09-13,653,Active
116,9794460281459771,Credit,2030-10-03,390,Active
117,4130188839395278,Debit,2030-11-25,921,Blocked
118,9205012612914406,Debit,2027-09-13,678,Active
119,7329028933646918,Debit,2027-08-13,304,Active
120,6371164883306157,Debit,2028-06-06,675,Active
121,8496699849629462,Credit,2029-02-08,428,Active
122,3194458439803510,Credit,2030-12-02,190,Active
123,0050945520072877,Debit,2028-06-25,903,Active
124,4691018399480491,Credit,2030-01-14,475,Active
125,1006927730197761,Credit,2028-01-10,247,Active
126,8459583924698267,Debit,2029-11-27,403,Active
127,5092463563348244,Debit,2028-12-14,959,Active
